Country,Age dependency ratio (% of working-age population),[YEAR] Age dependency ratio (% of working-age population),"Birth rate, crude (per 1,000 people)","[YEAR] Birth rate, crude (per 1,000 people)","Completeness of birth registration, female (%)","[YEAR] Completeness of birth registration, female (%)","Completeness of birth registration, male (%)","[YEAR] Completeness of birth registration, male (%)","Death rate, crude (per 1,000 people)","[YEAR] Death rate, crude (per 1,000 people)",Female headed households (% of households with a female head),[YEAR] Female headed households (% of households with a female head),Female migrants (% of international migrant stock),[YEAR] Female migrants (% of international migrant stock),GDP (current US$),[YEAR] GDP (current US$),GDP growth (annual %),[YEAR] GDP growth (annual %),"Government expenditure on education, total (% of GDP)","[YEAR] Government expenditure on education, total (% of GDP)",Human Capital Index (HCI) (scale 0-1),[YEAR] Human Capital Index (HCI) (scale 0-1),"Human Capital Index (HCI), Female (scale 0-1)","[YEAR] Human Capital Index (HCI), Female (scale 0-1)","Human Capital Index (HCI), Male (scale 0-1)","[YEAR] Human Capital Index (HCI), Male (scale 0-1)","Life expectancy at birth, female (years)","[YEAR] Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","[YEAR] Life expectancy at birth, male (years)","Life expectancy at age 60, female (years)","[YEAR] Life expectancy at age 60, female (years)","Life expectancy at age 60, male (years)","[YEAR] Life expectancy at age 60, male (years)","Population ages 0-14, female","[YEAR] Population ages 0-14, female",Population ages 0-14 (% of total),[YEAR] Population ages 0-14 (% of total),Population ages 15-64 (% of total),[YEAR] Population ages 15-64 (% of total),"Population ages 15-64, female","[YEAR] Population ages 15-64, female","Population ages 65 and above, female","[YEAR] Population ages 65 and above, female","Population, total","[YEAR] Population, total","Population, female (% of total)","[YEAR] Population, female (% of total)","Rural population, female (% of total)","[YEAR] Rural population, female (% of total)","Rural population, male (% of total)","[YEAR] Rural population, male (% of total)","Urban population, female (% of total)","[YEAR] Urban population, female (% of total)",Women with a national identity card or equivalent foundational identity document (% of women ages 15+),[YEAR] Women with a national identity card or equivalent foundational identity document (% of women ages 15+),Sex ratio at birth (male births per female births),[YEAR] Sex ratio at birth (male births per female births),"Urban population, male (% of total)","[YEAR] Urban population, male (% of total)"
COD,96.14896267,2019.0,41.183,2018.0,24.8,2014.0,24.4,2014.0,9.482000000000001,2018.0,24.9,2014.0,51.86365273,2019.0,50400746171.0,2019.0,4.3845288810000005,2019.0,1.454949975,2017.0,0.369,2017.0,0.37,2017.0,0.36700000000000005,2017.0,61.901,2018.0,58.852,2018.0,17.556022,2017.0,16.422898,2017.0,19789679.0,2019.0,46.00139898,2019.0,50.98166141,2019.0,22247674.0,2019.0,1434111.0,2019.0,86790567.0,2019.0,50.08777567,2019.0,29.69991298,2015.0,27.80647335,2015.0,20.62571934,2015.0,,,1.03,2018.0,21.86789434,2015.0
COG,79.40008009,2019.0,32.861999999999995,2018.0,96.0,2015.0,96.0,2015.0,6.705,2018.0,,,45.23377314,2019.0,12267392147.0,2019.0,-3.5441303060000005,2019.0,3.511049986,2018.0,0.42,2017.0,0.41100000000000003,2017.0,0.392,2017.0,65.703,2018.0,62.836999999999996,2018.0,17.161032000000002,2017.0,15.441270000000001,2017.0,1107469.0,2019.0,41.5372489,2019.0,55.74133520000001,2019.0,1501975.0,2019.0,83704.0,2019.0,5380508.0,2019.0,50.05378678,2019.0,17.72639692,2015.0,16.89145793,2015.0,32.28430743,2015.0,55.896609999999995,2017.0,1.03,2018.0,33.09783772,2015.0
CIV,80.46574701,2019.0,35.74,2018.0,71.0,2016.0,73.0,2016.0,10.052999999999999,2018.0,,,44.62546403,2019.0,58539424930.0,2019.0,6.231709512999999,2019.0,3.256030083,2018.0,0.353,2017.0,0.32299999999999995,2017.0,0.325,2017.0,58.74100000000001,2018.0,56.251000000000005,2018.0,15.329904,2017.0,14.203358999999999,2017.0,5337964.0,2019.0,41.71470319,2019.0,55.41217747,2019.0,7055115.0,2019.0,349264.0,2019.0,25716544.0,2019.0,49.54920477,2019.0,22.72364405,2015.0,23.09462315,2015.0,26.3864757,2015.0,68.54071,2017.0,1.03,2018.0,27.7952571,2015.0
GNQ,64.96561356,2019.0,33.241,2018.0,,,,,9.323,2018.0,,,22.93941138,2019.0,11026774945.0,2019.0,-5.576308453999999,2019.0,,,,,,,,,59.586999999999996,2018.0,57.41,2018.0,15.915379000000001,2017.0,14.858486,2017.0,247255.0,2019.0,36.95679749,2019.0,60.6186937,2019.0,337889.0,2019.0,17017.0,2019.0,1355986.0,2019.0,44.40759538,2019.0,29.91239049,2015.0,30.16270338,2015.0,18.89862328,2015.0,,,1.03,2018.0,21.02628285,2015.0
SWZ,71.95786611,2019.0,26.342,2018.0,50.0,2014.0,51.0,2014.0,9.376,2018.0,,,48.67842773,2019.0,4471598727.0,2019.0,2.243919525,2019.0,7.070320129,2014.0,0.409,2017.0,,,,,63.968,2018.0,55.284,2018.0,18.543682,2017.0,13.402029,2017.0,215617.0,2019.0,37.83143024,2019.0,58.1537805,2019.0,340303.0,2019.0,29421.0,2019.0,1148130.0,2019.0,50.98215973,2019.0,39.9688958,2015.0,38.72472784,2015.0,10.57542768,2015.0,,,1.0270000000000001,2018.0,10.73094868,2015.0
ETH,78.10432337,2019.0,32.339,2018.0,2.6,2016.0,2.7,2016.0,6.551,2018.0,25.4,2016.0,49.08852805,2019.0,95912590628.0,2019.0,8.364085699,2019.0,4.737919807,2015.0,0.385,2017.0,0.386,2017.0,0.38299999999999995,2017.0,68.165,2018.0,64.35,2018.0,18.847545999999998,2017.0,17.445454,2017.0,22315932.0,2019.0,40.33644118,2019.0,56.14686837,2019.0,31571710.0,2019.0,2122078.0,2019.0,112078730.0,2019.0,49.97355029,2019.0,40.1528168,2015.0,40.37516929,2015.0,9.823937256,2015.0,49.43046,2017.0,1.04,2018.0,9.648076651,2015.0
GAB,68.70311816,2019.0,31.611,2018.0,,,,,6.832999999999999,2018.0,,,35.65448169,2019.0,16874450215.0,2019.0,3.944946204,2019.0,2.666670084,2014.0,0.45299999999999996,2017.0,0.46799999999999997,2017.0,0.439,2017.0,68.32300000000001,2018.0,64.152,2018.0,18.035676000000002,2017.0,15.926765,2017.0,400051.0,2019.0,37.1795456,2019.0,59.27572714,2019.0,623363.0,2019.0,42972.0,2019.0,2172579.0,2019.0,49.0838994,2019.0,6.563926941,2015.0,6.278538813,2015.0,43.15068493,2015.0,66.13956999999999,2017.0,1.03,2018.0,44.00684932,2015.0
GMB,87.57518328,2019.0,38.535,2018.0,,,,,7.8870000000000005,2018.0,,,47.28466245,2019.0,1826073740.0,2019.0,6.056765744,2019.0,2.420300007,2018.0,0.397,2017.0,0.41,2017.0,,,63.151,2018.0,60.361999999999995,2018.0,16.078569,2017.0,14.775304,2017.0,513203.0,2019.0,44.12711813,2019.0,53.31195644,2019.0,639313.0,2019.0,30821.0,2019.0,2347706.0,2019.0,50.40397053,2019.0,20.77196546,2015.0,19.60385983,2015.0,29.76130015,2015.0,,,1.03,2018.0,29.86287456,2015.0
GHA,67.96050651,2019.0,29.406999999999996,2018.0,70.1,2014.0,70.8,2014.0,7.309,2018.0,34.8,2019.0,46.60782381,2019.0,66983634224.0,2019.0,6.478394805,2019.0,3.989439964,2018.0,0.439,2017.0,0.446,2017.0,0.43200000000000005,2017.0,64.852,2018.0,62.724,2018.0,16.347206,2017.0,15.233479,2017.0,5562778.0,2019.0,37.36487213,2019.0,59.53780569,2019.0,8929623.0,2019.0,509370.0,2019.0,30417856.0,2019.0,49.31896256,2019.0,22.78302761,2015.0,23.17583843,2015.0,27.52640356,2015.0,,,1.053,2018.0,26.51473041,2015.0
GIN,86.53895618,2019.0,36.364000000000004,2018.0,61.5,2018.0,62.4,2018.0,8.452,2018.0,18.7,2018.0,41.40100463,2019.0,12296665331.0,2019.0,5.6,2019.0,2.3159399030000003,2018.0,0.374,2017.0,0.35200000000000004,2017.0,0.377,2017.0,61.666000000000004,2018.0,60.477,2018.0,15.811307000000001,2017.0,14.975586999999999,2017.0,2755687.0,2019.0,43.44998914,2019.0,53.60810527,2019.0,3616319.0,2019.0,233165.0,2019.0,12771246.0,2019.0,51.7190805,2019.0,31.69744088,2015.0,31.13864593,2015.0,18.19727891,2015.0,39.401309999999995,2017.0,1.024,2018.0,18.96663427,2015.0
